"filename", "language", "Dart", "YAML", "Markdown", "C++", "Swift", "Groovy", "Properties", "XML", "Kotlin", "JSON", "comment", "blank", "total"
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\homework_details\for_tea.dart\screen_hw_detail_tea.dart", "Dart", 336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 360
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\homework_details\for_tea.dart\single_submission_detail.dart", "Dart", 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 247
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\homework_details\for_tea.dart\tea_comment_sheet.dart", "Dart", 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 217
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\homework_details\item_comment.dart", "Dart", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 182
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\homework_details\item_hwquestion.dart", "Dart", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 89
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\homework_details\item_peer_submit.dart", "Dart", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 79
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\homework_details\item_submit_file.dart", "Dart", 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 178
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\homework_details\peer_comment\body_peercomment.dart", "Dart", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 135
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\homework_details\peer_comment\item_comment_angle.dart", "Dart", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 155
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\homework_details\peer_comment\screen_peercomment.dart", "Dart", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 176
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\homework_details\screen_hw_details.dart", "Dart", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 241
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\homework_details\submitsheet.dart", "Dart", 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 219
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\homework_details\submitsheet_body.dart", "Dart", 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 243
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\homework_details\submitsheet_header.dart", "Dart", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 75
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\lesson\group\group_for_stu\dialog_create_group.dart", "Dart", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 180
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\lesson\group\group_for_stu\item_stu.dart", "Dart", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 63
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\lesson\group\group_for_stu\sceen_choose.dart", "Dart", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 95
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\lesson\group\group_for_stu\selectable_item.dart", "Dart", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 82
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\lesson\group\group_for_stu\tab_group_stu.dart", "Dart", 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 238
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\lesson\group\group_for_tea\item_group.dart", "Dart", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 83
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\lesson\group\group_for_tea\tab_group_tea.dart", "Dart", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 79
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\lesson\screen_lesson.dart", "Dart", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 134
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\lesson\tab_lesson_details.dart", "Dart", 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 205
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\lesson\tab_lesson_hw.dart", "Dart", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 151
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\lesson\tab_lesson_members.dart", "Dart", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 69
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\login\image_banner.dart", "Dart", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\login\screen_login.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 9, 151
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\login\screen_login_signup.dart", "Dart", 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23, 257
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\login\text_section.dart", "Dart", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\setting\screen_setting_menu.dart", "Dart", 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 250
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\screens\sign_up\update_user_info.dart", "Dart", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 171
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\style.dart", "Dart", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 50
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\utils\file_man.dart", "Dart", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 68
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\utils\filebase_storage.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 48
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\utils\firebase_auth.dart", "Dart", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 54
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\utils\firebase_store.dart", "Dart", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 70
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\utils\firebase_userinfo.dart", "Dart", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 57
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\utils\flutter_toast.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\lib\utils\share_pre.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\pubspec.yaml", "YAML", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 42, 6, 79
"d:\user\DOCUMENTS\Graduation\GraduationProgram\Programs\graduation_app\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 8213, 31, 13, 1, 12, 99, 10, 120, 4, 185, 304, 791, 9783
